index,id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type

2717,934,Lakewood,M,1969,Jefferson,1890,0
2732,935,Lamar,M,1886,Bent,1890,566
2747,1163,Lariat,M,1885,Rio Grande,1890,0
2762,936,Larkspur,M,1979,Douglas,1890,0
2777,938,Las Animas,M,1886,Las Animas,1890,611
2792,1162,Lawrence,M,1894,El Paso,1890,0
2807,940,Leadville,M,1878,Lake,1890,10384
2822,941,Limon,M,1909,Lincoln,1890,0
2837,942,Littleton,M,1890,Arapahoe,1890,1039
2852,943,Lochbuie,M,1974,Weld,1890,0
2867,944,Log Lane Village,M,1956,Morgan,1890,0
2882,945,Lone Tree,M,1996,Douglas,1890,0
2897,946,Longmont,M,1873,Boulder,1890,1543
2912,947,Louisville,M,1882,Boulder,1890,596
2927,948,Loveland,M,1881,Larimer,1890,698
2942,949,Lyons,M,1891,Boulder,1890,574
2957,1129,Malta,M,1879,Lake,1890,109
2972,950,Manassa,M,1889,Conejos,1890,642
2987,951,Mancos,M,1894,Montezuma,1890,0
3002,952,Manitou Springs,M,1888,El Paso,1890,1439
3017,953,Manzanola,M,1900,Otero,1890,0
3032,954,Marble,M,1899,Gunnison,1890,0
3047,1130,Maysville,M,1880,Chaffee,1890,78
3062,955,Mead,M,1908,Weld,1890,0
3077,956,Meeker,M,1885,Garfield,1890,206
3092,957,Merino,M,1917,Logan,1890,0
3107,958,Milliken,M,1885,Weld,1890,0
3122,959,Minturn,M,1904,Eagle,1890,0
3137,960,Moffat,M,1911,Saguache,1890,0
3152,1137,Montclair vi,M,1888,Arapahoe,1890,380
3167,961,Monte Vista,M,1886,Rio Grande,1890,780
3182,962,Montezuma,M,1882,Summit,1890,106
3197,963,Montrose,M,1882,Montrose,1890,1330
3212,964,Monument,M,1881,El Paso,1890,177
3227,965,Morrison,M,1906,Jefferson,1890,0
3242,968,Mount Crested Butte,M,1974,Gunnison,1890,0
3257,966,Mountain View,M,1904,Jefferson,1890,0
3272,967,Mountain Village,M,1995,San Miguel,1890,0
3287,969,Naturita,M,1951,Montrose,1890,0
3302,970,Nederland,M,1874,Boulder,1890,111
3317,1118,Nevadaville,M,1886,Gilpin,1890,933
3332,971,New Castle,M,1888,Garfield,1890,311
3347,1164,North Longmont,M,1903,Boulder,1890,0
3362,972,Northglenn,M,1969,Adams,1890,0
3377,973,Norwood,M,1905,San Miguel,1890,0
3392,974,Nucla,M,1915,Montrose,1890,0
3407,975,Nunn,M,1908,Weld,1890,0
3422,976,Oak Creek,M,1907,Routt,1890,0
3437,1165,Ohio City,M,1907,Gunnison,1890,0
3452,977,Olathe,M,1907,Montrose,1890,0
3467,978,Olney Springs,M,1912,Crowley,1890,0
3482,979,Ophir,M,1881,San Miguel,1890,113
3497,980,Orchard City,M,1912,Delta,1890,0
3512,981,Ordway,M,1900,Otero,1890,0
3527,1166,Oro,M,1885,Lake,1890,222
3542,982,Otis,M,1917,Washington,1890,129
3557,983,Ouray,M,1884,Ouray,1890,2534
3572,984,Ovid,M,1925,Sedgwick,1890,0
3587,985,Pagosa Springs,M,1891,Archuleta,1890,0
3602,986,Palisade,M,1904,Mesa,1890,0
3617,987,Palmer Lake,M,1889,El Paso,1890,213
3632,988,Paoli,M,1930,Phillips,1890,0
3647,989,Paonia,M,1902,Delta,1890,0
3662,990,Parachute,M,1908,Garfield,1890,0
3677,991,Parker,M,1981,Douglas,1890,0
3692,992,Peetz,M,1917,Logan,1890,0
3707,993,Pierce,M,1918,Weld,1890,0
3722,994,Pitkin,M,1880,Gunnison,1890,371
3737,995,Platteville,M,1876,Weld,1890,213
3752,996,Poncha Springs,M,1880,Chaffee,1890,101
3767,997,Pritchett,M,1937,Baca,1890,0
3782,1167,Prospect He,M,1905,Fremont,1890,0
3797,998,Pueblo,M,1885,Pueblo,1890,24558
3812,999,Ramah,M,1927,El Paso,1890,0
3827,1168,Ramona,M,1927,El Paso,1890,0
3842,1000,Rangely,M,1946,Rio Blanco,1890,0
3857,1001,Raymer,M,1919,Weld,1890,0
3872,1002,Red Cliff,M,1880,Eagle,1890,383
3887,1169,Red Mountain,M,1883,Ouray,1890,598
3902,1003,Rico,M,1880,Dolores,1890,1134
3917,1004,Ridgway,M,1891,Ouray,1890,0
3932,1005,Rifle,M,1905,Garfield,1890,0
3947,1170,Robinson,M,1881,Summit,1890,164
3962,1006,Rockvale,M,1886,Fremont,1890,0
3977,1007,Rocky Ford,M,1887,Bent,1890,468
3992,1008,Romeo,M,1923,Conejos,1890,0
4007,1171,Rosedale,M,1939,Weld,1890,0
4022,1131,Rosita,M,1882,Custer,1890,304
4037,1132,Ruby,M,1880,Gunnison,1890,0
4052,1009,Rye,M,1937,Pueblo,1890,0
4067,1010,Saguache,M,1878,Saguache,1890,660
4082,1011,Salida,M,1885,Chaffee,1890,2586
4097,1013,San Luis,M,1885,Costilla,1890,0
